Time_s,Irradiance_Wm2,Temperature_C,Vbus_V,IBoost_A,Ipv_A,Vpv_V,Ppv_W
9.4995,815.0,45.375,85.25995673656928,8.525995673656926,30.094725869012393,27.311863771642827,821.8703920177101
9.5395,810.0,45.25,85.21066187109739,8.521066187109735,29.969175785455956,27.32443410440909,818.8147649919395
9.5795,810.0,45.25,85.04626490216046,8.504626490216044,29.81824461050757,27.32837864082854,814.8171243615542
9.619499999999999,810.0,45.25,84.8814525554553,8.488145255545527,29.74800406033126,27.323682473096888,812.7614865967669
9.6595,810.0,45.25,84.85049018002653,8.485049018002652,29.731263149209546,27.334760132640724,812.6169586980111
9.6995,810.0,45.25,84.82714623645117,8.482714623645112,29.756274183970667,27.313601031343183,812.6776437606231
9.7395,810.0,45.25,84.84257760392234,8.484257760392232,29.750520273822655,27.32439872072913,812.86313036995
9.7795,810.0,45.25,84.84130478529379,8.484130478529377,29.753705909553275,27.318519395583905,812.7641118346024
9.8195,810.0,45.25,84.85217990223622,8.48521799022362,29.729054517948278,27.344300575199476,812.8693359387855
9.8595,810.0,45.25,84.84432869512413,8.484432869512409,29.74336142403945,27.326849401968197,812.7243531939902
9.8995,810.0,45.25,84.82993443111475,8.482993443111473,29.762438287256344,27.307545064994837,812.6648473310437
9.939499999999999,810.0,45.25,84.847195844928,8.484719584492797,29.732304782878167,27.3346902502386,812.6464891754624
9.9795,810.0,45.25,84.83610777260748,8.483610777260745,29.74761697082396,27.323550023022392,812.7450878754717
10.019499999999999,800.0,45.0,84.85227835785095,8.485227835785096,29.67202521440031,27.35686353425033,811.6674467595099
10.0595,800.0,45.0,84.72064583002285,8.47206458300228,29.52406667981191,27.358604778261473,807.6788412142657
10.0995,800.0,45.0,84.52868596948679,8.45286859694868,29.409562485497133,27.337182464635646,803.8948645999739
10.1395,800.0,45.0,84.4352744731639,8.443527447316388,29.381391266774635,27.352190859302066,803.5927510496714
10.179499999999999,800.0,45.0,84.43074903293768,8.443074903293766,29.36510171308164,27.36676224789727,803.5732383014544
10.2195,800.0,45.0,84.43059725888497,8.443059725888492,29.387203211448572,27.34863831907935,803.6543854640975
10.2595,800.0,45.0,84.43012910099348,8.443012910099347,29.3794769095592,27.3541994441501,803.6000473049463
10.2995,800.0,45.0,84.4242382014529,8.442423820145288,29.373952204016405,27.35493020141937,803.4540196242287
10.339500000000001,800.0,45.0,84.41699469725177,8.441699469725174,29.39109892303942,27.34216590268399,803.5603660711522
10.379499999999998,800.0,45.0,84.42004098228486,8.442004098228484,29.3666714702291,27.358186415816544,803.336749858584
10.4195,800.0,45.0,84.42237666176628,8.442237666176627,29.37271281482249,27.35627931940446,803.4599925619043
10.4595,800.0,45.0,84.41874868865531,8.44187486886553,29.384323994089925,27.345518771886635,803.4617735728527
10.4995,795.0,44.875,84.43921427198438,8.443921427198436,29.35087053662839,27.378897874241993,803.5419850182119
10.5395,790.0,44.75,84.39178963118273,8.439178963118271,29.22432616520523,27.394663538342833,800.543182842468
10.5795,790.0,44.75,84.20371601627858,8.420371601627854,29.1075344174617,27.3624189888223,796.4007362239767
10.619499999999999,790.0,44.75,84.05757674299957,8.405757674299954,28.990958567080064,27.400457856624804,794.3145776615477
10.6595,790.0,44.75,84.00800740636399,8.400800740636395,29.01445147810607,27.378233148952365,794.3124405619998
10.6995,790.0,44.75,83.9975759383473,8.399757593834725,29.02120777906349,27.369480625763618,794.2350134867627
10.7395,790.0,44.75,84.00736654973933,8.40073665497393,28.99807121056901,27.391212130025554,794.2314536746783
10.7795,790.0,44.75,83.99574359770517,8.399574359770515,29.026150438292927,27.366514142807425,794.2904771068327
10.8195,790.0,44.75,84.00945992876352,8.400945992876352,29.00480591722216,27.38865819922962,794.3562173129577
10.8595,790.0,44.75,84.0003755944884,8.400037559448837,29.014393038193894,27.377006280309303,794.270929450169
10.8995,790.0,44.75,84.00970075632314,8.400970075632312,29.006692835942005,27.385827657223537,794.3215414323355
10.939499999999999,790.0,44.75,84.0067659026241,8.400676590262407,29.00963938814882,27.38281287920371,794.3137480870556
10.9795,790.0,44.75,84.00762273471942,8.40076227347194,29.016438923857528,27.379043513190076,794.4002616667924
11.019499999999999,780.0,44.5,84.01824781963902,8.4018247819639,28.93709453193219,27.41659169896033,793.3175664118613
11.0595,780.0,44.5,83.88270552556585,8.388270552556582,28.79219102985406,27.41172813409551,789.1972533177997
11.0995,780.0,44.5,83.6910388708837,8.369103887088366,28.668225637901493,27.403403777340763,785.55740549504
11.1395,780.0,44.5,83.59947115974987,8.359947115974984,28.64362066536741,27.413520964336477,785.1930817338815
11.179499999999999,780.0,44.5,83.58550207388276,8.358550207388275,28.635306083291102,27.416019943867003,785.0162752287424
