G,Temp,Vmpp,Impp,Pmpp
630,25,30.1375071998449,35.3866493591986,1066.46539984124
620,25,30.1098083514373,35.4193825332387,1066.47082000206
610,25,30.1166417603183,35.4113561598398,1066.47112771293
600,25,30.1131805420305,35.4154252595121,1066.47109481248
590,25,30.1167292762176,35.411252700147,1066.47111090205
580,25,30.1100910552695,35.4190507311579,1066.47084260637
570,25,30.1167616099697,35.4112151408532,1066.47112471642
560,25,30.1524632660006,35.3687528244953,1066.45502030485
550,25,30.1217406382257,35.0389866631876,1055.43526849478
540,25,30.1079969077627,35.0549892057355,1055.43550660794
530,25,30.1167241613337,35.0448311623857,1055.43551339808
520,25,30.118659909604,35.0425725075588,1055.4353237128
510,25,30.1112371750164,35.0512228544978,1055.43568464614
500,25,30.1193195249163,35.041802877939,1055.43525760977
490,25,30.119917914745,35.0411036037059,1055.4351641857
480,25,30.1087213834365,35.0541468807551,1055.43554176671
470,25,30.1080198970783,35.0549603872886,1055.43544483178
460,25,30.1148063975568,35.0470685511145,1055.43568421871
450,25,30.1457994105884,35.0106237588863,1055.42324107497
440,25,30.099355921164,34.6982401407435,1044.39467983426
430,25,30.1215679240104,34.6726413511542,1044.39432156364
420,25,30.0948703269536,34.7033531474178,1044.39291288202
410,25,30.0804452359156,34.7197486029977,1044.38549645723
400,25,30.0935309419479,34.7048810016172,1044.39241025879
390,25,30.1265713838945,34.6668284149411,1044.39268089595
380,25,30.0808742562987,34.719262549539,1044.3857710241
370,25,30.104482646908,34.6923498836118,1044.39524505165
360,25,30.1059289835431,34.6906895670309,1044.39543649517
350,25,30.0967807129991,34.7011717439836,1044.3935564628
340,25,30.0760689766865,34.7246956973558,1044.38234298812
330,25,30.1120134205648,34.3169148038707,1033.35139912653
320,25,30.0911186253423,34.3406349404265,1033.34811966195
310,25,30.1038343987262,34.3262232066122,1033.35093894557
300,25,30.0859758569754,34.3464273170147,1033.34578303307
290,25,30.1081848927022,34.3212684709131,1033.35109687432
280,25,30.1229328110994,34.304379610846,1033.34852214396
270,25,30.1219666682076,34.3054898777264,1033.34882263341
260,25,30.1062855807773,34.3234317379175,1033.35103801406
250,25,30.0924292794847,34.3391494991899,1033.34842782203
